Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-11-18 16:42,0.738,0.010,1,0,0,0,p
2018-11-18 16:48,0.712,0.013,0,0,0,0,p
2018-11-18 16:54,0.712,0.010,0,0,0,0,p
2018-11-18 17:00,0.689,0.010,1,0,0,0,p
2018-11-18 17:06,0.699,0.010,0,0,0,0,p
2018-11-18 17:12,0.682,0.007,1,0,0,0,p
2018-11-18 17:18,0.689,0.007,1,0,0,0,p
2018-11-18 17:24,0.682,0.007,1,0,0,0,p
2018-11-18 17:30,0.686,0.007,0,0,0,0,p
2018-11-18 17:36,0.679,0.007,0,0,0,0,p
2018-11-18 17:42,0.692,0.007,1,0,0,0,p
2018-11-18 17:48,0.673,0.007,1,0,0,0,p
2018-11-18 17:54,0.669,0.007,0,0,0,0,p
2018-11-18 18:00,0.656,0.010,0,0,0,0,p
2018-11-18 18:06,0.653,0.010,1,0,0,0,p
2018-11-18 18:12,0.636,0.007,0,0,0,0,p
2018-11-18 18:18,0.633,0.007,1,0,0,0,p
2018-11-18 18:24,0.627,0.007,1,0,0,0,p
2018-11-18 18:30,0.620,0.010,1,0,0,0,p
2018-11-18 18:36,0.617,0.013,0,0,0,0,p
2018-11-18 18:42,0.604,0.013,1,0,0,0,p
2018-11-18 18:48,0.610,0.010,1,0,0,0,p
2018-11-18 18:54,0.600,0.013,0,0,0,0,p
2018-11-18 19:00,0.607,0.013,0,0,0,0,p
2018-11-18 19:06,0.604,0.013,1,0,0,0,p
2018-11-18 19:12,0.600,0.016,0,0,0,0,p
2018-11-18 19:18,0.604,0.016,0,0,0,0,p
2018-11-18 19:24,0.591,0.013,1,0,0,0,p
2018-11-18 19:30,0.600,0.023,0,0,0,0,p
2018-11-18 19:36,0.597,0.016,0,0,0,0,p
2018-11-18 19:42,0.591,0.010,1,0,0,0,p
2018-11-18 19:48,0.600,0.010,0,0,0,0,p
2018-11-18 19:54,0.597,0.013,1,0,0,0,p
2018-11-18 20:00,0.617,0.016,0,0,0,0,p
2018-11-18 20:06,0.623,0.020,0,0,0,0,p
2018-11-18 20:12,0.623,0.033,0,0,0,0,p
2018-11-18 20:18,0.633,0.016,1,0,0,0,p
2018-11-18 20:24,0.640,0.013,1,0,0,0,p
2018-11-18 20:30,0.640,0.013,1,0,0,0,p
2018-11-18 20:36,0.669,0.013,0,0,0,0,p
